"name","region","totalSum","theoretical","practical","development","services","workers","scientists","womenScientists","t25","f25t29","f30t34","f35t39","f40t44","f45t49","f50t54","f55t59","f60t64","f65t69","f70","group","menScientists","theorandpract","young","old"
"ІНСТИТУТ МАТЕМАТИКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",21401,21401,0,0,0,234,186,54,0,31,28,21,22,12,16,14,8,15,19,"природничі науки",132,21401,114,72
"ІНСТИТУТ ПРИКЛАДНОЇ МАТЕМАТИКИ І МЕХАНІКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Донецк (эвакуант)",1170,1170,0,0,0,14,10,3,0,1,2,1,1,0,0,0,2,2,1,"природничі науки",7,1170,5,5
"МІЖНАРОДНИЙ МАТЕМАТИЧНИЙ ЦЕНТР ІМЕНІ Ю.О.МИТРОПОЛЬСЬКОГО НАН УКРАЇНИ","Киев",644.7,644.7,0,0,0,6,3,0,0,1,0,0,0,0,1,0,0,0,1,"природничі науки",3,644.7,1,2
"ІНСТИТУТ ПРИКЛАДНИХ ПРОБЛЕМ МЕХАНІКИ І МАТЕМАТИКИ ІМ.Я.С.ПІДСТРИГАЧА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Львов",14462.5,11799,1892.3,771.2,0,212,164,48,0,15,26,16,17,8,17,23,24,8,10,"природничі науки",116,13691.3,82,82
"ІНСТИТУТ ПРОБЛЕМ МІЦНОСТІ ІМЕНІ Г.С. ПИСАРЕНКА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",20135.9,14353.7,3632.3,2149.9,0,280,141,29,0,12,15,13,6,8,4,15,15,20,33,"природничі науки",112,17986,54,87
"ІНСТИТУТ ТЕХНІЧНОЇ МЕХАНІКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ І ДЕРЖАВНОГО КОСМІЧНОГО АГЕНТСТВА УКРАЇНИ","Днепр",20933.3,15877,4316.4,736.1,3.8,280,137,46,0,6,10,8,6,6,10,25,21,22,23,"природничі науки",91,20193.4,36,101
"ІНСТИТУТ МЕХАНІКИ ІМ.С.П.ТИМОШЕНКА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",16151.7,14308.8,1692.9,150,0,228,145,61,2,3,10,11,10,7,10,11,16,18,47,"природничі науки",84,16001.7,43,102
"ІНСТИТУТ ГІДРОМЕХАНІКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",13299.8,10756.9,1416,1126.9,0,209,155,59,2,6,10,7,5,10,6,31,18,26,34,"природничі науки",96,12172.9,40,115
"ПОЛТАВСЬКА ГРАВІМЕТРИЧНА ОБСЕРВАТОРІЯ ІНСТИТУТУ ГЕОФІЗИКИ ІМ.С.І.СУББОТІНА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Полтава",2621.1,2621.1,0,0,0,54,17,1,0,1,0,1,0,1,3,1,1,1,8,"природничі науки",16,2621.1,3,14
"ГОЛОВНА АСТРОНОМІЧНА ОБСЕРВАТОРІЯ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",12239.3,11493.3,746,0,0,169,99,40,0,8,8,8,9,3,7,9,21,16,10,"природничі науки",59,12239.3,36,63
"РАДІОАСТРОНОМІЧНИЙ ІНСТИТУТ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Харьков",23678.3,13645.4,6868.9,3164,0,297,170,37,3,13,14,15,16,13,17,23,28,17,11,"природничі науки",133,20514.3,74,96
"ФІЗИКО-ТЕХНІЧНИЙ НАВЧАЛЬНО-НАУКОВИЙ ЦЕНТР НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",704.3,0,704.3,0,0,7,7,2,0,0,0,0,0,0,0,1,1,3,2,"природничі науки",5,704.3,0,7
"ІНСТИТУТ ФІЗИКИ НАПІВПРОВІДНИКІВ ІМЕНІ В.Ї.ЛАШКАРЬОВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",63517.8,31399.8,17106.9,15011.1,0,706,471,161,1,38,47,42,35,22,36,59,58,51,82,"природничі науки",310,48506.7,185,286
"ІНСТИТУТ ПРИКЛАДНОЇ ФІЗИКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Сумы",11584.4,7658.2,3923.2,0,3,202,123,15,0,19,20,8,18,4,11,18,7,8,10,"природничі науки",108,11581.4,69,54
"ІНСТИТУТ ФІЗИКИ КОНДЕНСОВАНИХ СИСТЕМ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Львов",5743.4,5531.4,180,0,32,78,62,12,0,5,14,9,6,1,7,11,5,1,3,"природничі науки",50,5711.4,35,27
"ІНСТИТУТ ЕЛЕКТРОФІЗИКИ І РАДІАЦІЙНИХ ТЕХНОЛОГІЙ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Харьков",2439.5,2066.5,373,0,0,40,33,1,2,3,5,3,1,4,4,3,3,3,2,"природничі науки",32,2439.5,18,15
"ІНСТИТУТ ТЕОРЕТИЧНОЇ ФІЗИКИ ІМ. М.М. БОГОЛЮБОВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",16187.6,15537.2,650.4,0,0,207,115,19,0,12,15,10,3,7,7,12,12,22,15,"природничі науки",96,16187.6,47,68
"ІНСТИТУТ РАДІОФІЗИКИ ТА ЕЛЕКТРОНІКИ ІМ. О.Я. УСИКОВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Харьков",37008.1,26937.9,6817,3241.2,12,569,333,85,17,31,29,27,18,18,29,34,35,50,45,"природничі науки",248,33754.9,140,193
"ІНСТИТУТ ЕЛЕКТРОННОЇ ФІЗИКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Закарпатье",5527.8,5527.8,0,0,0,94,65,15,0,8,5,1,0,2,7,9,12,12,9,"природничі науки",50,5527.8,16,49
"ІНСТИТУТ ФІЗИКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",36070.9,32141.8,3929.1,0,0,444,315,78,10,40,23,28,15,14,27,35,31,32,60,"природничі науки",237,36070.9,130,185
"МІЖНАРОДНИЙ ЦЕНТР ""ІНСТИТУТ ПРИКЛАДНОЇ ОПТИКИ"" НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",1430,989,367.5,70,3.5,24,20,4,0,4,1,1,2,1,2,3,1,2,3,"природничі науки",16,1356.5,9,11
"УЖГОРОДСЬКИЙ НАУКОВО-ТЕХНОЛОГІЧНИЙ ЦЕНТР МАТЕРІАЛІВ ОПТИЧНИХ НОСІЇВ ІНФОРМАЦІЇ ІНСТИТУТУ ПРОБЛЕМ РЕЇСТРАЦІЇ ІНФОРМАЦІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Закарпатье",987.6,802.8,145.5,0,39.3,20,16,5,0,0,1,1,1,1,1,4,2,4,1,"природничі науки",11,948.3,4,12
"НАЦІОНАЛЬНИЙ НАУКОВИЙ ЦЕНТР ""ХАРКІВСЬКИЙ ФІЗИКО-ТЕХНІЧНИЙ ІНСТИТУТ""","Харьков",185436.8,141639.9,10123.3,15577.1,18096.5,2310,1049,202,30,85,87,83,55,30,66,119,115,141,238,"природничі науки",847,151763.2,370,679
"ТЕХНІЧНИЙ ЦЕНТР НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",9421.2,5953.4,3467.8,0,0,59,44,18,0,0,2,5,7,2,8,6,7,5,2,"природничі науки",26,9421.2,16,28
"ІНСТИТУТ МЕТАЛОФІЗИКИ ІМ.Г.В.КУРДЮМОВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",34177.3,27123.8,5900.6,1152.9,0,500,300,79,0,36,42,32,13,8,20,21,27,41,60,"природничі науки",221,33024.4,131,169
"НАВЧАЛЬНО-НАУКОВИЙ ЦЕНТР ""ФІЗИКО-ХІМІЧНЕ МАТЕРІАЛОЗНАВСТВО"" КИІВСЬКОГО УНІВЕРСИТЕТУ ІМЕНІ ТАРАСА ШЕВЧЕНКА ТА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",683.8,341,342.8,0,0,8,7,2,0,0,1,1,0,1,1,1,0,1,1,"природничі науки",5,683.8,3,4
"ДЕРЖАВНА УСТАНОВА ""ВІДДІЛЕННЯ ГІДРОАКУСТИКИ ІНСТИТУТУ ГЕОФІЗИКИ ІМ. С.І.СУББОТІНА НАН УКРАЇНИ""","Одесса",4882.4,4070.6,811.8,0,0,64,31,12,2,3,3,1,0,2,1,6,3,6,4,"природничі науки",19,4882.4,11,20
"ФІЗИКО-ТЕХНІЧНИЙ ІНСТИТУТ НИЗЬКИХ ТЕМПЕРАТУР ІМ. Б. І. ВЄРКІНА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Харьков",34577.6,29785.2,4742.4,50,0,548,266,69,0,25,22,22,13,14,22,26,39,37,46,"природничі науки",197,34527.6,96,170
"ІНСТИТУТ МАГНЕТИЗМУ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ ТА МІНІСТЕРСТВА ОСВІТИ І НАУКИ УКРАЇНИ","Киев",7493.7,5933.5,1560.2,0,0,86,53,14,0,5,4,6,2,7,6,6,7,5,5,"природничі науки",39,7493.7,24,29
"ФІЗИКО-ТЕХНОЛОГІЧНИЙ ІНСТИТУТ МЕТАЛІВ ТА СПЛАВІВ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",26100,16430,3958,5712,0,453,312,94,10,18,27,19,16,24,24,25,32,39,78,"природничі науки",218,20388,114,198
"ЧЕРНІВЕЦЬКЕ ВІДДІЛЕННЯ ІНСТИТУТУ ПРОБЛЕМ МАТЕРІАЛОЗНАВСТВА ІМЕНІ І.М.ФРАНЦЕВИЧА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Черновцы",1328,644,644,40,0,29,21,3,0,1,0,3,1,2,1,6,2,3,2,"природничі науки",18,1288,7,14
"ІНСТИТУТ ХІМІЇ ПОВЕРХНІ ІМ. О.О.ЧУЙКА НАН УКРАЇНИ","Киев",18145.9,15489.8,2656.1,0,0,243,153,93,0,11,30,28,16,3,7,11,21,15,11,"природничі науки",60,18145.9,88,65
"ІНСТИТУТ ПРОБЛЕМ МАТЕМАТИЧНИХ МАШИН І СИСТЕМ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",12636.5,8183.7,2049.7,2063.9,339.2,214,136,42,0,4,13,9,14,8,7,13,20,25,23,"природничі науки",94,10233.4,48,88
"МІЖНАРОДНИЙ НАУКОВО-НАВЧАЛЬНИЙ ЦЕНТР ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ ТА СИСТЕМ НАН ТА МОН УКРАЇНИ","Киев",22763.3,14658.7,5239.3,2865.3,0,356,237,98,14,17,16,10,20,20,32,32,28,30,18,"природничі науки",139,19898,97,140
